"TIME","GEO","GEO_LABEL","UNIT","AGE","SEX","SEVERITY","Value","Flag and Footnotes"
"2009","IT","Italy","Number","Total","Total","Fatal","633",""
"2010","IT","Italy","Number","Total","Total","Fatal","622",""
"2011","IT","Italy","Number","Total","Total","Fatal","510",""
"2012","IT","Italy","Number","Total","Total","Fatal","469",""
"2013","IT","Italy","Number","Total","Total","Fatal","463",""
"2014","IT","Italy","Number","Total","Total","Fatal","459",""
"2008","CY","Cyprus","Number","Total","Total","Fatal","12",""
"2009","CY","Cyprus","Number","Total","Total","Fatal","7",""
"2010","CY","Cyprus","Number","Total","Total","Fatal","18",""
"2011","CY","Cyprus","Number","Total","Total","Fatal","5",""
"2012","CY","Cyprus","Number","Total","Total","Fatal","7",""
"2013","CY","Cyprus","Number","Total","Total","Fatal","8",""
"2014","CY","Cyprus","Number","Total","Total","Fatal","4",""
"2008","LV","Latvia","Number","Total","Total","Fatal","40",""
"2009","LV","Latvia","Number","Total","Total","Fatal","29",""
"2010","LV","Latvia","Number","Total","Total","Fatal","23",""
"2011","LV","Latvia","Number","Total","Total","Fatal","29",""
"2012","LV","Latvia","Number","Total","Total","Fatal","33",""
"2013","LV","Latvia","Number","Total","Total","Fatal","27",""
"2014","LV","Latvia","Number","Total","Total","Fatal","39",""
"2008","LT","Lithuania","Number","Total","Total","Fatal","71",""
"2009","LT","Lithuania","Number","Total","Total","Fatal","45",""
"2010","LT","Lithuania","Number","Total","Total","Fatal","47",""
"2011","LT","Lithuania","Number","Total","Total","Fatal","49",""
"2012","LT","Lithuania","Number","Total","Total","Fatal","55",""
"2013","LT","Lithuania","Number","Total","Total","Fatal","53",""
"2014","LT","Lithuania","Number","Total","Total","Fatal","51",""
"2008","LU","Luxembourg","Number","Total","Total","Fatal","9",""
"2009","LU","Luxembourg","Number","Total","Total","Fatal","5",""
"2010","LU","Luxembourg","Number","Total","Total","Fatal","12",""
"2011","LU","Luxembourg","Number","Total","Total","Fatal","10",""
"2012","LU","Luxembourg","Number","Total","Total","Fatal","13",""
"2013","LU","Luxembourg","Number","Total","Total","Fatal","5",""
"2014","LU","Luxembourg","Number","Total","Total","Fatal","10",""
"2008","HU","Hungary","Number","Total","Total","Fatal","110",""
"2009","HU","Hungary","Number","Total","Total","Fatal","91",""
"2010","HU","Hungary","Number","Total","Total","Fatal","89",""
"2011","HU","Hungary","Number","Total","Total","Fatal","75",""
"2012","HU","Hungary","Number","Total","Total","Fatal","60",""
"2013","HU","Hungary","Number","Total","Total","Fatal","50",""
"2014","HU","Hungary","Number","Total","Total","Fatal","74",""
"2008","MT","Malta","Number","Total","Total","Fatal","2",""
"2009","MT","Malta","Number","Total","Total","Fatal","6",""
"2010","MT","Malta","Number","Total","Total","Fatal","2",""
"2011","MT","Malta","Number","Total","Total","Fatal","1",""
"2012","MT","Malta","Number","Total","Total","Fatal","7",""
"2013","MT","Malta","Number","Total","Total","Fatal","4",""
"2014","MT","Malta","Number","Total","Total","Fatal","4",""
"2008","NL","Netherlands","Number","Total","Total","Fatal","95",""
"2009","NL","Netherlands","Number","Total","Total","Fatal","73",""
"2010","NL","Netherlands","Number","Total","Total","Fatal","64",""
"2011","NL","Netherlands","Number","Total","Total","Fatal","37",""
"2012","NL","Netherlands","Number","Total","Total","Fatal","31",""
"2013","NL","Netherlands","Number","Total","Total","Fatal","34",""
"2014","NL","Netherlands","Number","Total","Total","Fatal","39","b"
"2008","AT","Austria","Number","Total","Total","Fatal","167",""
"2009","AT","Austria","Number","Total","Total","Fatal","153",""
"2010","AT","Austria","Number","Total","Total","Fatal","158",""
"2011","AT","Austria","Number","Total","Total","Fatal","106",""
"2012","AT","Austria","Number","Total","Total","Fatal","137",""
"2013","AT","Austria","Number","Total","Total","Fatal","130",""
